Municipio,Codigo_DANE,Documento,ID_Proyecto,Nombre_Proyecto,Codigos_MGA,Indicador de Producto(MGA),Productos,Especificidad,Vision_Regional,Impacto,Calificacion_Promedio,Justificacion
Cajicá,25126,SisPT – Plan indicativo - Productos,1-11,Proyecto: Estudio de la calidad del agua en acueductos rurales de los municipios de la provincia,"190304001, 400304702, 190603500, 450301700, 400201603",Entidades territoriales atendidas; Usuarios beneficiados con subsidios al consumo del servicio de acueducto; Instituciones financiadas para la atención en salud a la población; Estudios de riesgo de desastres elaborados; Documentos de formulación del Plan de Ordenamiento Departamental elaborados,183. Dar cumplimiento al 100% a las actividades de vigilancia a la calidad del agua para consumo humano programadas de acuerdo al Decreto 1565 y Resolución 2115 de 2007.; 26. Asignar el 100% de los recursos necesarios para garantizar los servicios prestados por la EPC para cubrir el mínimo vital de los estratos que resulten del análisis de la información; 162. Realizar 1 convenio de desempeño con la ESE Hospital Profesor Jorge Cavelier que garantice el pago de los recursos de oferta; 272. Realizar 1 estrategia para la mitigación del riesgo; 46. Elaborar e implementar 1 Plan anual para el desarrollo de las actividades de planificación del territorio. SRB ORDEN 4.10,4,2,3,3.0,"La especificidad es alta porque los productos están directamente relacionados con la calidad del agua y la gobernabilidad. La visión regional es moderada, ya que algunos productos mencionan coordinación con entidades supramunicipales. El impacto es significativo, ya que estos productos pueden contribuir a la sostenibilidad del agua en la región."
Cajicá,25126,SisPT – Plan indicativo - Productos,2-1,Creación de una agencia de empleo con cobertura provincial,"220206700, 350202100, 220206300",Programas y proyectos de educación o investigación articulados con el sector productivo; Unidades productivas fortalecidas; Beneficiarios de estrategias o programas de apoyo financiero para el acceso a la educación superior,156. Elaborar y realizar 1 estrategia anual para articular la media con las competencias laborales - Educación para el Trabajo; 218. Realizar 1 mesa de trabajo anual con el sector industrial para realizar alianzas estratégicas de beneficio común; 158. laborar y ejecutar 1 Plan anual para incrementar el acceso a la educación superior,3,2,2,2.33,"La especificidad se justifica porque los productos seleccionados abordan aspectos de capacitación y vinculación laboral, aunque no todos cumplen con los requerimientos del proyecto. La visión regional es limitada, ya que los productos están más centrados en Cajicá. El impacto es moderado, ya que aunque contribuyen a la sostenibilidad, no son transformadores."
Cajicá,25126,SisPT – Plan indicativo - Productos,2-2,Puesta en marcha de una oﬁcina de asesoría empresarial y apoyo a la formación en mecanismos de asociación para el desarrollo con cobertura para los once municipios de Sabana Centro,"350200300, 350209601, 360201702",Programas de gestión empresarial ejecutados en unidades productivas; Empresas beneficiadas por las iniciativas financiadas para la gestión y el uso eficiente de recursos; Empleos generados a través del emprendimiento,"222. Implementar 1 proyecto con potencial turístico para Cajicá acorde a los resultados del análisis; 210. Elaborar e implementar 1 Plan anual de formación en competitividad, legalización, acceso a crédito y microcrédito y apoyo a los comerciantes; 226. Implementar 1 Escuela de emprendimiento y desarrollo empresarial",4,2,4,3.33,"Los productos seleccionados están alineados con el objetivo del proyecto, especialmente en la gestión empresarial y el fomento del emprendimiento. La especificidad se justifica por su relación directa con los requerimientos del proyecto. La visión regional es limitada, ya que aunque algunos productos pueden tener un impacto en la región, no todos mencionan explícitamente otros municipios. El impacto es significativo, ya que estos productos pueden contribuir a la sostenibilidad económica de la región."
Cajicá,25126,SisPT – Plan indicativo - Productos,2-3,Llevar a cabo una consultoría para el establecimiento de una política de generación de valor agregado para las principales cadenas productivas.,"350202100, 350202600, 400203400, 240211000, 320200200",Unidades productivas fortalecidas; Productos diseñados; Estudios o diseños realizados; Terminales de transporte construidas; Documentos de planeación realizados,218. Realizar 1 mesa de trabajo anual con el sector industrial para realizar alianzas estratégicas de beneficio común; 215. Realizar y desarrollar 1 Plan anual de apoyo y fortalecimiento al sector artesanal; 47. Realizar 1 estudio y diseño para la revisión general del Plan de Ordenamiento Territorial; 249. Gestionar 1 proyecto con la empresa privada para la construcción del terminal de transporte De Cajicá; 15. Implementar 1 Plan Institucional de Gestión Ambiental - PIGA - anualmente para disminuir la Huella de Carbono,2,1,2,1.67,"Los productos seleccionados tienen una relación variable con el objetivo del proyecto. Se priorizaron aquellos que, aunque no son perfectos, ofrecen un potencial de alineación con la generación de valor agregado y el fortalecimiento de las cadenas productivas."
Cajicá,25126,SisPT – Plan indicativo - Productos,2-4,Consolidación de la Red de Escenarios Multipropósito para la recreación y el esparcimiento por medio de la formulación e implementación de un Plan Maestro.,"400202000, 330105301, 350204603",Espacio publico adecuado; Actividades culturales para la promoción de la cultura realizadas; Regiones con planes de divulgación y promoción,"57. Formular e implementar al 100% el plan de acción anual del Plan Maestro de Espacio Público y Movilidad Cero Emisiones para Cajicá; 196. Elaborar y ejecutar 1 plan de promoción y posicionamiento a nivel regional del Centro Cultural y de Convenciones - Fernando Botero - Cajicá- como Epicentro Cultural de Sabana Centro; 221. Elaborar e implementar 1 plan de mercadeo, promoción y divulgación turística del Municipio - Cajicá Destino Turístico -",4,2,3,3.0,"El producto de espacio público tiene una relación directa con el objetivo del proyecto, lo que justifica un puntaje alto en especificidad. Las actividades culturales también contribuyen a la promoción regional, aunque su impacto en otros municipios es limitado, lo que justifica un puntaje de 2 en visión regional. Finalmente, los productos tienen un impacto positivo en la sostenibilidad, pero no son transformadores, lo que justifica un 3 en impacto."
Cajicá,25126,SisPT – Plan indicativo - Productos,2-5,Diseño e implementación del plan estratégico de turismo de Sabana Centro,"330105301, 350204500, 350200200",Actividades culturales para la promoción de la cultura realizadas; Personas capacitadas; Documentos de lineamientos técnicos elaborados,"196. Elaborar y ejecutar 1 plan de promoción y posicionamiento a nivel regional del Centro Cultural y de Convenciones - Fernando Botero - Cajicá- como Epicentro Cultural de Sabana Centro; 223. Elaborar y desarrollar 1 estrategia anual de competitividad sectorial para el turismo en Cajicá; 219. Actualizar, adoptar e implementar al 100% el plan de acción anual del Plan de Desarrollo Turístico",4,3,4,3.67,"El producto del Centro Cultural aborda directamente el objetivo de integrar la oferta turística y tiene un enfoque regional claro, lo que justifica un puntaje alto en especificidad y visión regional. La estrategia de competitividad sectorial también contribuye significativamente al desarrollo turístico, mientras que el plan de desarrollo turístico tiene un impacto claro en la sostenibilidad del sector."
Cajicá,25126,SisPT – Plan indicativo - Productos,2-6,Creación de un programa provincial para la implementación de los planes especiales de manejo y protección (PEMP) para la conservación y recuperación de centros históricos e inmuebles de valor arquitectónico en los municipios de la provincia.,"330204900, 320200106, 350200200",Procesos de salvaguardia efectiva del patrimonio inmaterial realizados; Documentos de lineamientos técnicos con el manejo de especies de fauna y flora elaborados; Documentos de lineamientos técnicos elaborados,"199. Formular e implementar al 100% el plan de acción anual del Plan Especial de Manejo y protección del Patrimonio Histórico y Cultural - PEMP; 11. Levantar 1 Inventario del patrimonio natural de flora, fauna y forestal; 219. Actualizar, adoptar e implementar al 100% el plan de acción anual del Plan de Desarrollo Turístico",4,2,3,3.0,"El producto del PEMP tiene una relación directa con la conservación de inmuebles, justificando un puntaje alto en especificidad. La visión regional se ve limitada ya que no menciona explícitamente otros municipios, pero tiene un impacto potencial en la región. El impacto es moderado, ya que contribuye a la sostenibilidad cultural y turística de la región."
Cajicá,25126,SisPT – Plan indicativo - Productos,3-1,Formulación y ejecución de proyecto para la prestación del servicio de acueducto a través de una ﬁgura empresarial de carácter regional,"190304001, 400300601, 400304701, 400305000, 400302700",Entidades territoriales atendidas; Documentos de planeación en políticas de Agua Potable y Saneamiento Básico elaborados; Recursos entregados en subsidios al consumo; Sistemas de información actualizados; Conexiones Intradomiciliarias apoyadas financieramente,183. Dar cumplimiento al 100% a las actividades de vigilancia a la calidad del agua para consumo humano programadas de acuerdo al Decreto 1565 y Resolución 2115 de 2007.; 27. Implementar al 100% el Plan de acción anual del Plan Maestro de Acueducto; 25.Realizar 1 transferencia anual para el pago del subsidio de acueducto; 34.Mantener actualizado 1 Catastro de redes del servicio de acueducto y alcantarillado; 28. Realizar 1 gestión con otros niveles de gobierno para desarrollar alternativas de abastecimiento municipal como concesión de aguas. SRB orden 4.34,4,2,4,3.33,"El producto 1 es crucial para garantizar la calidad del agua, lo que se alinea con el objetivo del proyecto. El producto 2 es directamente relevante y aborda los requerimientos del proyecto. El producto 3 tiene una relación temática, pero no es el objetivo directo. El producto 4 apoya la gestión del agua, pero su impacto regional es limitado. El producto 5 tiene una relación débil con el objetivo del proyecto."
Cajicá,25126,SisPT – Plan indicativo - Productos,3-2,Elaboración del Plan Maestro de Movilidad de la Provincia que articule la movilidad entre los municipios y la ciudad capital.,"400201603, 240900801, 240204100, 320100901, 320300207",Documentos de formulación del Plan de Ordenamiento Departamental elaborados; Documentos de lineamientos técnicos en temas de seguridad de transporte formulados; Vía terciaria mejorada; Programas de recolección de residuos pos consumo con seguimiento; Documentos de planeación del plan de ordenación y manejo ambiental de cuenca hidrográfica elaborados,"46. Elaborar e implementar 1 Plan anual para el desarrollo de las actividades de planificación del territorio. SRB ORDEN 4.10; 243.Actualizar e implementar al 100% el plan de acción anual del Plan Municipal de Movilidad Seguro y Sostenible al 100% - Resolución No 15885 Min - Transporte; 238. Realizar mejoramiento y construcción de 3.000 metros lineales de Vías Rurales; 16. Elaborar e Implementar 1 Plan Municipal anual para promocionar y fomentar la Economía Circular; 4. Elaborar e Implementar 1 Plan de Manejo Ambiental para la Recuperación y Conservación del Río Frío y sus afluentes - SRB ORDEN 4,19- 4.10 - 4.19",3,2,3,2.67,"Los productos seleccionados abordan aspectos clave de la movilidad y la planificación territorial, aunque algunos tienen un impacto limitado en la sostenibilidad y la cooperación regional. Se priorizaron aquellos que tienen una relación más directa con el objetivo del proyecto."
Cajicá,25126,SisPT – Plan indicativo - Productos,3-3,"Estudios, diseños y construcción del tren de cercanías línea del norte","400203400, 240211000, 400201601, 240900800, 240900900",Estudios o diseños realizados; Terminales de transporte construidas; Documentos de planeación en Ordenamiento Territorial implementados; Documentos de lineamientos técnicos realizados; Estrategias implementadas,47. Realizar 1 estudio y diseño para la revisión general del Plan de Ordenamiento Territorial; 249. Gestionar 1 proyecto con la empresa privada para la construcción del terminal de transporte De Cajicá; 45. Implementar al 100% el plan de acción anual del Plan Básico de Ordenamiento Territorial vigente SRB ORDEN 4.10; 250. Realizar 1 apoyo técnico para la estructuración de proyectos de transporte público masivo LRT ( Light Rail Transit); 245. Ejecutar 1 modelo de habilitación de zonas de parqueo en el área urbana,3,2,3,2.67,"La especificidad se justifica porque los productos seleccionados abordan aspectos del ordenamiento territorial y la movilidad, que son relevantes para el proyecto. La visión regional se limita a la mención de coordinación con actores supramunicipales, y el impacto se considera moderado ya que los productos pueden contribuir a la sostenibilidad en términos de movilidad, pero no todos tienen un impacto significativo a largo plazo."
Cajicá,25126,SisPT – Plan indicativo - Productos,3-4,Diseño y construcción de un centro de acopio,"410401500, 400203400, 240211000, 170203500, 170203801",Centros de día para el adulto mayor construidos y dotados; Estudios o diseños realizados; Terminales de transporte construidas; Personas capacitadas; Productores apoyados para la participación en mercados campesinos,97. Terminar la construcción de 1 Centro Día para la Persona Mayor -Ubicado en la Quebrada del Campo; 47. Realizar 1 estudio y diseño para la revisión general del Plan de Ordenamiento Territorial; 249. Gestionar 1 proyecto con la empresa privada para la construcción del terminal de transporte De Cajicá; 234. Elaborar y desarrollar 1 estrategia anual que fomente las buenas prácticas agrícolas y ganaderas del Municipio; 235. Elaborar y desarrollar 1 estrategia anual para apoyar y facilitar la comercialización de productos agropecuarios,2,1,1,1.33,"Los productos seleccionados tienen una relación variable con el objetivo del proyecto. La mayoría no abordan directamente los requerimientos técnicos, lo que justifica los puntajes bajos en especificidad, visión regional e impacto."
Cajicá,25126,SisPT – Plan indicativo - Productos,3-5,Actualización catastral de los municipios de Sabana Centro,"040600400, 400203400, 240210701",Sistema de Información catastral actualizado; Estudios o diseños realizados; Proyectos soportados con asistencia técnica,316. Ejecutar 1 convenio de actualización y/o conservación rural y urbana en Cajicá; 47. Realizar 1 estudio y diseño para la revisión general del Plan de Ordenamiento Territorial; 242. Realizar 1 acción de gestión predial para las vías proyectadas en el ordenamiento del territorio,4,2,4,3.33,"El producto 'Sistema de Información catastral actualizado' tiene una relación directa con el objetivo del proyecto, cumpliendo con varios requerimientos técnicos. La visión regional es moderada, ya que aunque puede impactar a otros municipios, no se menciona explícitamente. El impacto es significativo, ya que una buena actualización catastral es crucial para la sostenibilidad a largo plazo."
Cajicá,25126,SisPT – Plan indicativo - Productos,3-6,Transporte Público regional de pasajeros y carga (PROYECTO NUEVO),"240211000, 240900800, 240900900",Terminales de transporte construidas; Documentos de lineamientos técnicos realizados; Estrategias implementadas,249. Gestionar 1 proyecto con la empresa privada para la construcción del terminal de transporte De Cajicá; 250. Realizar 1 apoyo técnico para la estructuración de proyectos de transporte público masivo LRT ( Light Rail Transit); 245. Ejecutar 1 modelo de habilitación de zonas de parqueo en el área urbana,4,2,3,3.0,"El producto sobre el terminal de transporte tiene una relación directa con el objetivo del proyecto, lo que justifica un puntaje alto en especificidad. La visión regional es limitada ya que no menciona explícitamente otros municipios, y el impacto es moderado, ya que aunque contribuye a la sostenibilidad, no es transformador."
Cajicá,25126,SisPT – Plan indicativo - Productos,3-7,Ciclorutas de la Sabana Probogotá,"240203300, 240211000, 240901306, 240900801, 240900900",Ciclo infraestructura de la red secundaria construida; Terminales de transporte construidas; Zonas escolares demarcadas; Documentos de lineamientos técnicos en temas de seguridad de transporte formulados; Estrategias implementadas,"240. Elaborar y ejecutar 1 Plan anual para la construcción, adecuación y mantenimiento de la Red Municipal de Ciclorrutas; 249. Gestionar 1 proyecto con la empresa privada para la construcción del terminal de transporte De Cajicá; 246.Definir 1 estrategia para la implementación de los planes de movilidad escolar; 243.Actualizar e implementar al 100% el plan de acción anual del Plan Municipal de Movilidad Seguro y Sostenible al 100% - Resolución No 15885 Min - Transporte; 245. Ejecutar 1 modelo de habilitación de zonas de parqueo en el área urbana",3,2,2,2.33,"El producto ""Ciclo infraestructura de la red secundaria construida"" tiene una relación directa con el objetivo del proyecto, lo que justifica un puntaje de 3 en especificidad. Los otros productos tienen una relación más indirecta, lo que justifica puntajes bajos en los otros criterios."
Cajicá,25126,SisPT – Plan indicativo - Productos,4-1,Definición de determinantes de la salud priorizados para Sabana Centro y plan de intervención y monitoreo,190503701,Documentos de análisis de salud pública elaborados,"177. Desarrollar y actualizar 1 Análisis en Salud e indicadores trazadores en salud, para la planeación integral y la toma de decisiones en el marco de la gestión de la salud pública del municipio de Cajicá.",3,2,3,2.67,"El producto aborda el mismo objetivo del proyecto y cumple varios de sus requerimientos técnicos, aunque no menciona explícitamente otros municipios. Su impacto en la sostenibilidad de la salud es claro, pero no transformador."
Cajicá,25126,SisPT – Plan indicativo - Productos,4-2,"Consolidación del ecosistema de prevención, monitoreo y atención de salud mental de la provincia","230107500, 190505003, 190503701, 190501500, 190505412","Sistemas de información implementados; Personas apoyadas; Documentos de análisis de salud pública elaborados; Documentos de planeación elaborados; Estrategias de promoción de la salud en modos, condiciones y estilos de vida saludables implementadas","323. Implementar 1 Sistema Integral de Información - SII que permita consultar las diferentes actividades que realiza el Municipio de Cajicá; 179. Garantizar a través de 1 contrato interadministrativo la ejecución del programa de atención psicosocial y salud integral de las víctimas (PAPSIVI); 177. Desarrollar y actualizar 1 Análisis en Salud e indicadores trazadores en salud, para la planeación integral y la toma de decisiones en el marco de la gestión de la salud pública del municipio de Cajicá.; 168. Formular e implementar al 100% el Plan de Acción anual de la Política Pública Municipal de Salud Mental; 164. Ejecutar 1 programa de ruta saludable en el municipio que garantice accesibilidad a la población vulnerable",2,1,2,1.67,"Los puntajes reflejan la relación de cada producto con el objetivo del proyecto y su capacidad para impactar la salud mental en la región. Se consideró la especificidad, la visión regional y el impacto a largo plazo."
Cajicá,25126,SisPT – Plan indicativo - Productos,4-3,ProgramaPrograma telesalud para Sabana Centro telesalud para Sabana Centro,190501505,Planes estratégicos elaborados,"173. Implementar en el municipio de Cajicá 1 estrategia de ciudades, entornos, ruralidades saludables y sustentables (CERSS).",4,2,3,3.0,"El producto seleccionado aborda directamente el objetivo del proyecto al implementar una ruta de atención en salud, lo que justifica un puntaje alto en especificidad. Sin embargo, su visión regional es limitada ya que no menciona explícitamente la cooperación con otros municipios. El impacto es moderado, ya que contribuye a la sostenibilidad de la salud en la región."
Cajicá,25126,SisPT – Plan indicativo - Productos,4-4,Diseño e implementación de estrategias de adaptación municipal para la implementación local de la Atención Primaria en Salud,"190502301, 190503701, 190501505",Personas atendidas con campañas de promoción sobre condiciones crónicas prevalentes; Documentos de análisis de salud pública elaborados; Planes estratégicos elaborados,"167. Aplicar el modelo de atención primaria en salud a 3.600 personas vulnerables del municipio de Cajicá implementando la estrategia ""Medicina en tu Hogar"" en el marco del nuevo modelo preventivo y predictivo; 177. Desarrollar y actualizar 1 Análisis en Salud e indicadores trazadores en salud, para la planeación integral y la toma de decisiones en el marco de la gestión de la salud pública del municipio de Cajicá.; 173. Implementar en el municipio de Cajicá 1 estrategia de ciudades, entornos, ruralidades saludables y sustentables (CERSS).",4,2,3,3.0,"El producto 190502301 tiene una relación directa con el objetivo del proyecto, ya que se enfoca en la atención primaria en salud. La visión regional es moderada, ya que aunque se centra en Cajicá, puede beneficiar a otros municipios. El impacto es significativo, pero más inmediato que a largo plazo."
